Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
96	147.33289	92.387054	283.6596	39.717316	540.8571	24.57787	4.6656938	41.438053	-0.37756395	388000	-9.298325e-09	128.59744	-0.010227952	-65.54292	0.52188313	0.019808657	0.30375	4.0	1318.9368035793304
97	94.81981	108.370186	322.3364	-0.67453647	384.3	19.55234	9.18316	47.504913	-15.356386	392000	1.9431114e-08	289.07507	-0.008823609	-89.39114	0.51927936	0.015904754	0.19725	3.0	1334.7877206802368
98	108.618675	85.01098	286.81918	26.944284	347.6	20.68136	9.492101	65.45555	-6.266568	396000	9.298325e-09	201.10637	-0.007716235	-60.042526	0.5167484	0.020775996	0.2445	3.0	1347.5962336063385
99	112.778694	99.27968	305.3372	27.214472	357.1111	26.126816	7.150181	49.42168	2.0157235	400000	9.536744e-10	132.36484	-0.00721098	-32.68991	0.51413256	0.01995424	0.28425	3.0	1360.526986837387
100	132.63914	117.39209	345.84537	17.648903	437.55554	25.758215	6.4178047	49.75889	1.2622944	404000	4.7683715e-09	214.27545	-0.0089184	-43.517563	0.5115375	0.021264974	0.3095	4.0	1373.6997888088226
101	101.426575	84.531944	256.74185	13.237858	400.625	25.982695	6.3789454	53.43234	-9.670369	408000	-1.6689301e-09	195.97484	-0.009427596	-58.64978	0.5083332	0.015595548	0.24625	3.0	1388.7938945293427
102	91.72504	98.51635	305.61142	-0.7259958	332.6	27.944765	8.832485	68.11938	1.6396824	412000	2.1457671e-09	249.9959	-0.006563853	-121.74823	0.506053	0.018866017	0.261	3.0	1403.9716441631317
103	180.11688	85.02227	338.8604	85.07214	578.1667	22.802656	5.622509	47.229168	-4.0177293	416000	8.5830685e-09	211.84737	-0.00849938	-71.79518	0.50373656	0.019537825	0.26825	3.0	1418.0120210647583
104	104.377396	133.98524	369.41583	-28.60071	362.36365	27.630558	7.2917547	51.254055	-8.667102	420000	1.4305115e-09	202.91539	-0.0086060865	-48.68538	0.50140303	0.016950242	0.2785	3.0	1431.497641324997
105	55.331497	79.698975	230.98271	-17.40568	270.07693	21.208847	10.558978	51.85482	-22.72977	424000	-1.7166137e-08	328.83768	-0.007214833	-132.4673	0.49884304	0.015972817	0.19675	2.0	1445.268691778183
106	133.59047	104.19537	295.75327	14.983576	483.375	13.056828	12.674547	52.80984	-19.265657	428000	2.157688e-08	392.08353	-0.004055263	-248.43045	0.49720708	0.01848727	0.23175	3.0	1461.6792681217194
107	161.23177	116.13399	318.60745	6.592489	531.5714	22.2367	7.2812386	44.116085	-4.3177	432000	1.4781952e-08	179.33463	-0.010127034	-55.49704	0.49462113	0.01502855	0.2735	4.0	1476.4325652122498
108	165.93608	101.61927	271.81543	41.072468	640.6667	24.544706	7.1935635	54.27708	2.9908626	436000	2.7418137e-09	97.93163	-0.013790624	-31.798546	0.49143437	0.02193163	0.2605	3.0	1490.9817645549774
109	142.85681	147.93637	423.65762	9.957186	445.0	26.382965	7.95891	57.711464	0.9252478	440000	-1.2397766e-08	227.96509	-0.0078587085	-84.99771	0.4890241	0.018424457	0.3135	4.0	1505.3523452281952
110	77.59819	95.859795	328.93076	2.7436678	310.3	29.162144	8.2368965	62.298866	4.449769	444000	-1.7642975e-08	404.11765	-0.009639359	-185.38623	0.4853891	0.02157166	0.20975	3.0	1519.6320490837097
111	160.6061	140.28664	400.9157	21.001062	449.375	24.97116	8.223036	54.399326	-15.453631	448000	-1.1920929e-09	254.91905	-0.008261436	-138.279	0.48273596	0.018601498	0.2705	3.0	1533.513676404953
112	136.15346	90.40427	249.87598	-4.389446	492.25	29.16023	11.005979	62.849125	0.49724323	452000	6.198883e-09	249.55734	-0.0072826343	-95.50789	0.48023364	0.015299395	0.25975	3.0	1548.022728919983
113	336.1043	15.100342	354.33606	318.80682	914.75	25.869478	7.478777	62.57618	-1.8408043	456000	-8.165836e-09	224.14209	-0.007955452	-140.23257	0.47781754	0.017775804	0.25525	3.0	1562.1121830940247
114	203.9447	109.0484	363.30472	40.11079	618.3333	34.470078	11.7603655	68.713264	-4.193286	460000	9.894371e-09	236.5567	-0.007554896	-86.28177	0.47546613	0.02114685	0.2665	3.0	1576.0077457427979
115	201.36472	100.1347	315.99432	53.762356	655.0	25.31589	9.205241	49.441677	-5.4134436	464000	6.437302e-09	108.013954	-0.008082794	-30.144188	0.47305146	0.018852284	0.28025	4.0	1589.8507452011108
116	143.0455	124.19228	365.29654	7.3932405	433.125	27.942286	8.569328	47.819477	-3.812772	468000	4.529953e-09	199.80946	-0.011243584	-36.119797	0.4696511	0.021605998	0.26075	3.0	1603.8960874080658
117	126.44036	112.01692	318.69907	14.089511	389.625	30.211214	6.692715	51.815735	-5.3329844	472000	-1.5497207e-08	154.95229	-0.009080547	-31.480461	0.46706343	0.017914945	0.26275	3.0	1617.8954648971558
118	200.48373	115.86852	387.73325	57.763172	532.4286	29.97039	6.657475	54.696808	3.7123227	476000	3.5762786e-09	182.84656	-0.0074366503	-74.74233	0.46437985	0.020493554	0.3045	4.0	1631.8253784179688
119	337.25113	10.422736	354.63443	326.90637	1000.0	31.960566	7.2673	62.97602	7.0432434	480000	1.66893e-08	43.463894	-0.0096304715	-16.901869	0.46115395	0.022226395	0.23225	3.0	1645.9983882904053
120	133.17873	105.50318	395.19983	15.620765	290.54544	36.543816	7.5540495	60.330578	9.293389	484000	1.9192695e-08	222.18365	-0.007480165	-60.32866	0.45878038	0.019445438	0.155	2.0	1659.9666862487793
121	223.79797	141.31607	464.9504	26.204245	545.7143	30.040703	8.058906	52.110268	2.54194	488000	4.2915342e-09	211.03589	-0.004408626	-98.84083	0.4572174	0.015965335	0.178	2.0	1673.583734035492
122	160.68324	110.98107	361.13843	26.952826	399.77777	37.163204	6.8890147	58.85959	9.238847	492000	-3.3378602e-09	275.10678	-0.00619893	-100.98575	0.45570937	0.02343502	0.3425	3.0	1687.3175702095032
